Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
1091,"Nov 06, 2024","Nov 15, 2024","Nov 18, 2024",Current,53 St & 113 Av Intersection - Total Closure,53 Street NW,113 Avenue NW,,Total Closure,4 Days (24/7),The intersection of 53 Street and 113 Avenue will be totally closed for a Drainage Repair from Friday Evening November 15th to Monday Morning November 18th. Please use other routes.,Drainage Repair,Construction,Northeast,Road,POINT (-113.423075774634 53.56880936416)
1043,"Oct 23, 2024","Oct 23, 2024","Nov 15, 2024",Current,Left turn lane closed,111 Street,25 Avenue,23 Avenue,Increased Travel Time,24 Days,111 Street southbound to eastbound left turn bay is reduced from double left turn to single left turn.,Utility work,Construction,Central,Road,POINT (-113.516365337055 53.455877246932)
1092,"Nov 06, 2024","Nov 12, 2024","Nov 20, 2024",Current,Ellerslie Road delays,Ellerslie Road SW,Stanton Drive SW,75 Street SW,Travel Delays,9 days,Ellerslie Road SW at 75 St will be reduced to a single lane eastbound.,Water valve work,Construction,Southeast,Road,POINT (-113.455290638714 53.424834703206)
1100,"Nov 07, 2024","Nov 12, 2024","Nov 22, 2024",Current,Southbound Winterburn Road Single Lane Closure,Winterburn Road NW,103 Avenue NW,100 Avenue NW,Travel Delays,10 Days,Starting Nov 12th @ 09:00 southbound Winterburn Road from 103 Ave - 100 Ave will be reduced to a single lane. Closure is in place to complete bridge repairs. Please use other routes.,Bridge Repairs,Construction,Northwest,Road,POINT (-113.688382063143 53.544159714213)
1100,"Nov 07, 2024","Nov 12, 2024","Nov 22, 2024",Current,Southbound Winterburn Road Single Lane Closure,Winterburn Road NW,103 Avenue NW,100 Avenue NW,Travel Delays,10 Days,Starting Nov 12th @ 09:00 southbound Winterburn Road from 103 Ave - 100 Ave will be reduced to a single lane. Closure is in place to complete bridge repairs. Please use other routes.,Bridge Repairs,Construction,Northwest,Road,POINT (-113.688941668774 53.539564944535)
1051,"Oct 25, 2024","Oct 25, 2024","Nov 15, 2024",Revised,108 St Closure from 134 Ave to Lane North 134 Ave,108 Street NW,134 Avenue NW,135 Avenue NW,Total Closure,3 Weeks,108 Street will be closed from 134 Ave to the Lane North of 134 Ave. Detour using alternate routes.,Utility Installation,Construction,Northeast,Road,POINT (-113.506613507976 53.594953037859)
1053,"Oct 25, 2024","Nov 04, 2024","Dec 31, 2024",Current,Stony Plain Rd Reduced to 1 Lane EB,Stony Plain Road,218 Street NW,213 Street NW,Travel Delays,2 Months,Stony Plain Rd will be reduced to 1 lane EB. Use other routes.,Overpass Maintenance,Construction,Northwest,Road,POINT (-113.685658708607 53.54081511742)
865,"Sep 09, 2024","Sep 16, 2024","Nov 17, 2024",Revised,97 St/118 Ave Intersection Utility Repair,97 Street NW,118 Avenue NW,,Travel Delays,Two Months,NB 97 St will be reduced to one lane South of 117 Ave and two lanes through the 118 Ave intersection with no Northbound left turn onto 118 Ave WB. SB 97 Street will be reduced to one lane with left turns maintained. This is phase 1 of 4,Utility Repair,Construction,Central,Road,POINT (-113.49203430164 53.570389682373)
1053,"Oct 25, 2024","Nov 04, 2024","Dec 31, 2024",Current,Stony Plain Rd Reduced to 1 Lane EB,Stony Plain Road,218 Street NW,213 Street NW,Travel Delays,2 Months,Stony Plain Rd will be reduced to 1 lane EB. Use other routes.,Overpass Maintenance,Construction,Northwest,Road,POINT (-113.694435515948 53.54158795844)
1084,"Nov 05, 2024","Nov 16, 2024","Nov 16, 2024",Current,92 ST Total Closure,92 Street NW,Connors Road NW,92 Avenue NW,Total Closure,One Day,Intersection of 92 ST & 93 AV will be closed in all directions to vehicle traffic between 09:00-15:30hrs. Local access will be maintained. Detour using other routes.,Drainage Repair,Construction,Central,Road,POINT (-113.468341164797 53.527160407866)
973,"Oct 03, 2024","Oct 09, 2024","Oct 30, 2024",Current,34 Avenue Delays,34 Avenue NW,50 Street NW,58 Street NW,Travel Delays,3 Weeks,34 Av will be reduced to a single lane in each direction between 50 - 58 street,Water Main Inspection,Construction,Southeast,Road,POINT (-113.42770616151 53.465394501145)
1084,"Nov 05, 2024","Nov 16, 2024","Nov 16, 2024",Current,92 ST Total Closure,92 Street NW,Connors Road NW,92 Avenue NW,Total Closure,One Day,Intersection of 92 ST & 93 AV will be closed in all directions to vehicle traffic between 09:00-15:30hrs. Local access will be maintained. Detour using other routes.,Drainage Repair,Construction,Central,Road,POINT (-113.468341574981 53.530033364426)
1107,"Nov 13, 2024","Nov 30, 2024","Nov 30, 2024",Current,Winter Whyte Light Up Festival,83 Avenue,Gateway Boulevard,104 Street,Total Closure,1 Day (08:00-23:00),83 Avenue is closed to vehicle traffic from Gateway Boulevard to 104 Street.,Special Event,Special Event,Central,Road,POINT (-113.495066098986 53.519059850229)
156,"Mar 07, 2024","Mar 11, 2024","Nov 07, 2024",Revised,"Road, Sidewalk, and Bicycle Lane Closure",99 Street NW,102A Avenue NW,103A Avenue NW,Total Closure,7+ Months,"99 St, 102A Av - City Hall Parkade closed due to pedway construction. 102A Av WBD, East of 99 St also closed. Bike lane closed. West sidewalk closed. Cyclists and peds must use the temporary SUP on the east sidewalk.",Pedway Construction,Construction,Central,Road and Sidewalk,POINT (-113.489162456483 53.544555621777)
13,"May 10, 2023","Aug 14, 2023","Nov 30, 2024",Revised,"104 Av, 110 St - 107 St & 109 St: 2 lanes each way",104 Avenue NW,110 Street NW,107 Street NW,Travel Delays,Long term project,"104 Ave: 2 lanes each way 110 St - 107 St, 109 St: 2 lanes each way north & south of 104 Ave, Alternating closures of sidewalks as work progresses - pedestrian access maintained, Left turns banned SB & WB at 109 St/104 Ave and EB at 107 St/104 Ave.",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504744057038 53.546229418426)
1105,"Nov 12, 2024","Nov 16, 2024","Nov 16, 2024",Current,Kingsway Closure,Kingsway NW,119 Street NW,111 Avenue NW,Total Closure,3 Hours (4pm - 7pm),"Total closure of Kingsway from 119 St - 111 Av on Saturday, Nov 16th from 4pm - 7pm to accommodate the Kingsway Holiday Parade.",Special Event,Special Event,Central,Road,POINT (-113.526477109062 53.568492035234)
